AREA_NAME,CaseCount
Humber River-Black Creek,77
York Centre,51
Willowdale,37
University-Rosedale,82
Beaches-East York,35
Scarborough Southwest,123
Scarborough-Rouge Park,53
Scarborough North,32
Scarborough-Guildwood,116
Scarborough Centre,79
Scarborough-Agincourt,88
Don Valley West,118
Toronto-St. Paul's,181
Parkdale-High Park,277
Etobicoke North,12
Etobicoke-Lakeshore,88
Etobicoke Centre,21
Eglinton-Lawrence,26
Don Valley North,138
Don Valley East,35
Davenport,32
Toronto Centre,26
York South-Weston,34
Toronto-Danforth,86
Spadina-Fort York,199
